,Autosome,Z,W
000000F,3382500,12284630,12000
000001F,10005500,71500,0
000002F,9725500,98500,0
000003F,9374500,193000,0
000004F,7670337,13000,15500
000005F,6712500,109000,0
000006F,6606000,0,41500
000007F,6288734,38000,0
000008F,6207000,111000,0
000009F,6123500,34000,5000
000010F,5857302,67000,12000
000011F,5568500,94500,0
000012F,5399000,96500,59500
000014F,5461500,70500,0
000015F,5459280,54500,0
000017F,4801490,102500,5000
000016F,4871343,34500,0
000018F,3965373,586000,311000
000019F,4554500,77000,0
000020F,4531500,51500,23500
000021F,4280429,138000,0
000022F,4242500,37389,0
000023F,4135714,81500,0
000024F,4071624,136000,5500
000025F,4067000,16500,0
000027F,3777500,75972,29000
000028F,3531500,166323,0
000029F,3659000,16000,0
000030F,3572269,31500,0
000031F,3416000,40000,0
000034F,3228000,79000,16500
000033F,3285895,34500,0
000035F,3141874,154500,0
000036F,3152500,80000,18500
000037F,2992966,217500,35500
000038F,3175000,48000,0
000041F,3095250,45000,0
000040F,3074500,62500,0
000042F,3032000,13500,0
000043F,3040500,5000,0
000044F,2912718,17500,0
000045F,2856500,35500,16000
000046F,2788500,30000,18500
000047F,2796907,12500,7000
000048F,2756000,10000,39500
000049F,2684445,43000,27000
000050F,2671918,12500,28000
000051F,2160970,87000,268500
000053F,1985000,332000,6000
000054F,2256676,17500,23000
000055F,2168000,46000,0
000056F,2024420,176500,0
000057F,2170500,5500,0
000058F,2123738,35500,0
000059F,1905000,39000,0
000060F,1823269,110500,0
000061F,1836000,17500,28500
000062F,1428500,362258,26500
000065F,1786000,23500,0
000063F,1597955,197000,0
000064F,1648978,21500,51500
000066F,1500500,212000,0
000067F,1530500,141500,0
000068F,1411500,249883,5000
000071F,1617500,32500,0
000070F,1430000,112000,95000
000072F,1600982,0,21500
000074F,1535000,6500,13000
000075F,1485500,12500,0
000076F,1456356,30500,6000
000039F,1385500,24000,0
000078F,1325500,58940,0
000079F,1316000,52500,0
000080F,969500,289000,69500
000013F,1298944,17000,0
000081F,1239500,58267,12500
000082F,1214000,48458,0
000083F,1164500,11000,19500
000084F,1140500,5500,0
000085F,1090978,6500,0
000087F,1024500,5500,0
000088F,958500,71000,0
000089F,1007898,0,9000
000090F,991500,6500,15500
000091F,929000,50500,8000
000092R,937500,35500,0
000093F,907000,53000,5500
000073F,916500,49000,0
000094F,945493,6000,0
000095F,825374,102000,10000
000096F,928500,5000,0
000098F,790000,54000,40000
000101F,833500,8500,0
000102F,767500,0,6500
000032F,546500,193000,5500
000104F,734000,5500,0
000105F,665320,12000,0
000106F,641000,6000,0
000107F,624483,20000,0
000110F,532990,0,30000
000109F,515500,10500,33000
000111F,541500,10500,6000
000113F,503479,32000,0
000114F,418877,36000,41000
000115F,424000,0,10000
000116F,18941,49000,350500
000117F,367818,34000,7000
000118F,340500,68000,0
000119F,340000,34500,0
000120F,25500,9500,270500
000122F,286500,0,5000
000124F,106000,54500,114500
000126F,79500,0,144500
000125F,144000,91500,0
000127F,221279,7000,0
000128F,49500,36000,113000
000086F,124735,66500,0
000129F,88500,19500,81500
000130F,71000,5000,73000
210,9000,136500,0
000131F,116500,27500,0
000132F,128000,5000,0
000134F,31500,34500,38000
000138F,34000,0,50500
000137F,8500,6000,74500
000140F,0,24500,52500
000141F,38500,0,35500
000142F,0,10500,55000
000143F,5000,55000,0
000144F,0,25000,33000
000145F,0,5000,52000
000146F,43500,13483,0
000147F,30000,19500,0
000148F,10000,35500,0
000154F,0,35000,9500
000155F,27000,0,9500
000162F,6500,23500,0
000164F,8000,17500,0
000166F,12500,5000,7500
000183F,8490,15000,0
000197F,6000,0,12500
000202F,8479,5500,0
