,Autosome,Z,W
000000F,0.21573263,0.78353391,0.00073346
000001F,0.99290463,0.00709537,0
000002F,0.99027891,0.00972109,0
000003F,0.97982754,0.02017246,0
000004F,0.99564869,0.00220813,0.00214318
000005F,0.98402111,0.01597889,0
000006F,0.99270402,0.00105303,0.00624295
000007F,0.99367762,0.00632238,0
000008F,0.98243115,0.01756885,0
000009F,0.99391481,0.00543611,0.00064909
000010F,0.98669205,0.01128649,0.00202146
000011F,0.98287127,0.01712873,0
000012F,0.97218722,0.01710171,0.01071107
000014F,0.98725597,0.01274403,0
000015F,0.9904784,0.0095216,0
000017F,0.97820326,0.02088006,0.00091669
000016F,0.99296757,0.00703243,0
000018F,0.80667876,0.12689277,0.06642847
000019F,0.9839145,0.0160855,0
000020F,0.98545533,0.01226528,0.00227939
000021F,0.9689935,0.0310065,0
000022F,0.99126403,0.00873597,0
000023F,0.98067445,0.01932555,0
000024F,0.96451564,0.03346685,0.00201751
000025F,0.99595935,0.00404065,0
000026F,0,0.99938211,0.00061789
000027F,0.97296259,0.01956795,0.00746947
000028F,0.95515659,0.04484341,0
000029F,0.99564626,0.00435374,0
000030F,0.9901492,0.00874085,0.00110995
000031F,0.98900463,0.01099537,0
000034F,0.97126523,0.02377012,0.00496465
000033F,0.99021201,0.00978799,0
000035F,0.95191686,0.04808314,0
000036F,0.96970163,0.02460781,0.00569056
000037F,0.9220571,0.06700625,0.01093665
000038F,0.98510704,0.01489296,0
000041F,0.98566993,0.01433007,0
000040F,0.98071406,0.01928594,0
000042F,0.99474635,0.00525365,0
000043F,0.99852241,0.00147759,0
000044F,0.99436902,0.00563098,0
000045F,0.98280605,0.01169188,0.00550206
000046F,0.98290448,0.01057455,0.00652097
000047F,0.99307628,0.00443828,0.00248544
000048F,0.98235609,0.00356443,0.01407949
000049F,0.97295281,0.01724485,0.00980234
000050F,0.98506867,0.00460843,0.01032289
000051F,0.85873068,0.03457224,0.10669708
000053F,0.85492897,0.14248816,0.00258287
000054F,0.98236966,0.00761805,0.01001229
000055F,0.97922313,0.02077687,0
000056F,0.91980626,0.08019374,0
000057F,0.99747243,0.00252757,0
000058F,0.98355901,0.01644099,0
000059F,0.97993827,0.02006173,0
000060F,0.9428577,0.0571423,0
000061F,0.97874601,0.00611052,0.01514346
000062F,0.78800038,0.19741721,0.01458241
000065F,0.99171042,0.00828958,0
000063F,0.89024794,0.10975206,0
000064F,0.95121889,0.0168411,0.03194001
000066F,0.87620438,0.12379562,0
000067F,0.91776316,0.08223684,0
000068F,0.84824437,0.14995532,0.00180031
000071F,0.98030303,0.01969697,0
000070F,0.87354918,0.06841784,0.05803299
000072F,0.98520785,0.00154085,0.0132513
000074F,0.98874236,0.00289482,0.00836282
000075F,0.99432577,0.00333778,0.00233645
000076F,0.97822965,0.02009571,0.00167464
000039F,0.98297269,0.01702731,0
000077F,0.99315225,0.00684775,0
000078F,0.95742683,0.04257317,0
000079F,0.96163683,0.03836317,0
000080F,0.75941265,0.18938253,0.05120482
000013F,0.98480178,0.01519822,0
000081F,0.95705684,0.04294316,0
000082F,0.9620122,0.0379878,0
000083F,0.97238494,0.01129707,0.01631799
000084F,0.9952007,0.0047993,0
000085F,0.99407733,0.00592267,0
000087F,0.99223301,0.00776699,0
000088F,0.93103448,0.06896552,0
000089F,0.99114955,0,0.00885045
000090F,0.97829304,0.00641342,0.01529354
000091F,0.94278481,0.04911392,0.00810127
000092R,0.9635149,0.0364851,0
000093F,0.93940963,0.05489384,0.00569653
000073F,0.94924909,0.05075091,0
000094F,0.99369412,0.00630588,0
000095F,0.88051727,0.10881462,0.0106681
000096F,0.99571505,0.00428495,0
000098F,0.89366516,0.06108597,0.04524887
